% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
2.512	2	2	252	3	1	28	2196	0	0	0
2.601	1	1	261	2	1	28	2196	0	0	0
2.601	2	2	261	2	1	28	2196	0	0	0
2.612	1	1	262	3	1	28	2196	0	0	0
2.612	2	2	262	3	1	28	2196	0	0	0
2.701	1	1	271	2	1	28	2196	0	0	0
2.701	2	2	271	2	1	28	2196	0	0	0
2.712	1	1	272	3	1	28	2196	0	0	0
2.712	2	2	272	3	1	28	2196	0	0	0
2.801	1	1	281	2	1	28	2196	0	0	0
2.801	2	2	281	2	1	28	2196	0	0	0
2.812	1	1	282	3	1	28	2196	0	0	0
2.812	2	2	282	3	1	28	2196	0	0	0
2.901	1	1	291	2	1	28	2196	0	0	0
2.901	2	2	291	2	1	28	2196	0	0	0
2.912	1	1	292	3	1	28	2196	0	0	0
2.912	2	2	292	3	1	28	2196	0	0	0
3.001	1	1	301	2	1	28	2196	0	0	0
3.001	2	2	301	2	1	28	2196	0	0	0
3.012	1	1	302	3	1	28	2196	0	0	0
3.012	2	2	302	3	1	28	2196	0	0	0
3.101	1	1	311	2	1	28	2196	0	0	0
3.101	2	2	311	2	1	28	2196	0	0	0
3.112	1	1	312	3	1	28	2196	0	0	0
3.112	2	2	312	3	1	28	2196	0	0	0
3.201	1	1	321	2	1	28	2196	0	0	0
3.201	2	2	321	2	1	28	2196	0	0	0
3.212	1	1	322	3	1	28	2196	0	0	0
3.212	2	2	322	3	1	28	2196	0	0	0
3.301	1	1	331	2	1	28	2196	0	0	0
3.301	2	2	331	2	1	28	2196	0	0	0
3.312	1	1	332	3	1	28	2196	0	0	0
3.312	2	2	332	3	1	28	2196	0	0	0
3.401	1	1	341	2	1	28	2196	0	0	0
3.401	2	2	341	2	1	28	2196	0	0	0
3.412	1	1	342	3	1	28	2196	0	0	0
3.412	2	2	342	3	1	28	2196	0	0	0
3.501	1	1	351	2	1	28	2196	0	0	0
3.501	2	2	351	2	1	28	2196	0	0	0
3.512	1	1	352	3	1	28	2196	0	0	0
3.512	2	2	352	3	1	28	2196	0	0	0
3.601	1	1	361	2	1	28	2196	0	0	0
3.601	2	2	361	2	1	28	2196	0	0	0
3.612	1	1	362	3	1	28	2196	0	0	0
3.612	2	2	362	3	1	28	2196	0	0	0
3.701	1	1	371	2	1	28	2196	0	0	0
3.701	2	2	371	2	1	28	2196	0	0	0
3.712	1	1	372	3	1	28	2196	0	0	0
3.712	2	2	372	3	1	28	2196	0	0	0
3.801	1	1	381	2	1	28	2196	0	0	0
3.801	2	2	381	2	1	28	2196	0	0	0
3.812	1	1	382	3	1	28	2196	0	0	0
3.812	2	2	382	3	1	28	2196	0	0	0
3.901	1	1	391	2	1	28	2196	0	0	0
3.901	2	2	391	2	1	28	2196	0	0	0
3.912	1	1	392	3	1	28	2196	0	0	0
3.912	2	2	392	3	1	28	2196	0	0	0
4.001	1	1	401	2	1	28	2196	0	0	0
4.001	2	2	401	2	1	28	2196	0	0	0
4.012	1	1	402	3	1	28	2196	0	0	0
4.012	2	2	402	3	1	28	2196	0	0	0
4.101	1	1	411	2	1	28	2196	0	0	0
4.101	2	2	411	2	1	28	2196	0	0	0
4.112	1	1	412	3	1	28	2196	0	0	0
4.112	2	2	412	3	1	28	2196	0	0	0
4.201	1	1	421	2	1	28	2196	0	0	0
4.201	2	2	421	2	1	28	2196	0	0	0
4.212	1	1	422	3	1	28	2196	0	0	0
4.212	2	2	422	3	1	28	2196	0	0	0
4.301	1	1	431	2	1	28	2196	0	0	0
4.301	2	2	431	2	1	28	2196	0	0	0
4.312	1	1	432	3	1	28	2196	0	0	0
4.312	2	2	432	3	1	28	2196	0	0	0
4.401	1	1	441	2	1	28	2196	0	0	0
4.401	2	2	441	2	1	28	2196	0	0	0
4.412	1	1	442	3	1	28	2196	0	0	0
4.412	2	2	442	3	1	28	2196	0	0	0
4.501	1	1	451	2	1	28	2196	0	0	0
4.501	2	2	451	2	1	28	2196	0	0	0
4.512	1	1	452	3	1	28	2196	0	0	0
4.512	2	2	452	3	1	28	2196	0	0	0
4.601	1	1	461	2	1	28	2196	0	0	0
4.601	2	2	461	2	1	28	2196	0	0	0
4.612	1	1	462	3	1	28	2196	0	0	0
4.612	2	2	462	3	1	28	2196	0	0	0
4.701	1	1	471	2	1	28	2196	0	0	0
4.701	2	2	471	2	1	28	2196	0	0	0
4.712	1	1	472	3	1	28	2196	0	0	0
4.712	2	2	472	3	1	28	2196	0	0	0
4.801	1	1	481	2	1	28	2196	0	0	0
4.801	2	2	481	2	1	28	2196	0	0	0
4.812	1	1	482	3	1	28	2196	0	0	0
4.812	2	2	482	3	1	28	2196	0	0	0
4.901	1	1	491	2	1	28	2196	0	0	0
4.901	2	2	491	2	1	28	2196	0	0	0
4.912	1	1	492	3	1	28	2196	0	0	0
4.912	2	2	492	3	1	28	2196	0	0	0
5.001	1	1	501	2	1	28	2196	0	0	0
5.001	2	2	501	2	1	28	2196	0	0	0
5.012	1	1	502	3	1	28	2196	0	0	0
5.012	2	2	502	3	1	28	2196	0	0	0
5.101	1	1	511	2	1	28	2196	0	0	0
5.101	2	2	511	2	1	28	2196	0	0	0
5.112	1	1	512	3	1	28	2196	0	0	0
5.112	2	2	512	3	1	28	2196	0	0	0
5.201	1	1	521	2	1	28	2196	0	0	0
5.201	2	2	521	2	1	28	2196	0	0	0
5.212	1	1	522	3	1	28	2196	0	0	0
5.212	2	2	522	3	1	28	2196	0	0	0
5.301	1	1	531	2	1	28	2196	0	0	0
5.301	2	2	531	2	1	28	2196	0	0	0
5.312	1	1	532	3	1	28	2196	0	0	0
5.312	2	2	532	3	1	28	2196	0	0	0
5.401	1	1	541	2	1	28	2196	0	0	0
5.401	2	2	541	2	1	28	2196	0	0	0
5.412	1	1	542	3	1	28	2196	0	0	0
5.412	2	2	542	3	1	28	2196	0	0	0
5.501	1	1	551	2	1	28	2196	0	0	0
5.501	2	2	551	2	1	28	2196	0	0	0
5.512	1	1	552	3	1	28	2196	0	0	0
5.512	2	2	552	3	1	28	2196	0	0	0
5.601	1	1	561	2	1	28	2196	0	0	0
5.601	2	2	561	2	1	28	2196	0	0	0
5.612	1	1	562	3	1	28	2196	0	0	0
5.612	2	2	562	3	1	28	2196	0	0	0
5.701	1	1	571	2	1	28	2196	0	0	0
5.701	2	2	571	2	1	28	2196	0	0	0
5.712	1	1	572	3	1	28	2196	0	0	0
5.712	2	2	572	3	1	28	2196	0	0	0
5.801	1	1	581	2	1	28	2196	0	0	0
5.801	2	2	581	2	1	28	2196	0	0	0
5.812	1	1	582	3	1	28	2196	0	0	0
5.812	2	2	582	3	1	28	2196	0	0	0
5.901	1	1	591	2	1	28	2196	0	0	0
5.901	2	2	591	2	1	28	2196	0	0	0
5.912	1	1	592	3	1	28	2196	0	0	0
5.912	2	2	592	3	1	28	2196	0	0	0
6.001	1	1	601	2	1	28	2196	0	0	0
6.001	2	2	601	2	1	28	2196	0	0	0
6.012	1	1	602	3	1	28	2196	0	0	0
6.012	2	2	602	3	1	28	2196	0	0	0
6.101	1	1	611	2	1	28	2196	0	0	0
6.101	2	2	611	2	1	28	2196	0	0	0
6.112	1	1	612	3	1	28	2196	0	0	0
6.112	2	2	612	3	1	28	2196	0	0	0
6.201	1	1	621	2	1	28	2196	0	0	0
6.201	2	2	621	2	1	28	2196	0	0	0
6.212	1	1	622	3	1	28	2196	0	0	0
6.212	2	2	622	3	1	28	2196	0	0	0
6.301	1	1	631	2	1	28	2196	0	0	0
6.301	2	2	631	2	1	28	2196	0	0	0
6.312	1	1	632	3	1	28	2196	0	0	0
6.312	2	2	632	3	1	28	2196	0	0	0
6.401	1	1	641	2	1	28	2196	0	0	0
6.401	2	2	641	2	1	28	2196	0	0	0
6.412	1	1	642	3	1	28	2196	0	0	0
6.412	2	2	642	3	1	28	2196	0	0	0
6.501	1	1	651	2	1	28	2196	0	0	0
6.501	2	2	651	2	1	28	2196	0	0	0
6.512	1	1	652	3	1	28	2196	0	0	0
6.512	2	2	652	3	1	28	2196	0	0	0
6.601	1	1	661	2	1	28	2196	0	0	0
6.601	2	2	661	2	1	28	2196	0	0	0
6.612	1	1	662	3	1	28	2196	0	0	0
6.612	2	2	662	3	1	28	2196	0	0	0
6.701	1	1	671	2	1	28	2196	0	0	0
6.701	2	2	671	2	1	28	2196	0	0	0
6.712	1	1	672	3	1	28	2196	0	0	0
6.712	2	2	672	3	1	28	2196	0	0	0
6.801	1	1	681	2	1	28	2196	0	0	0
6.801	2	2	681	2	1	28	2196	0	0	0
6.812	1	1	682	3	1	28	2196	0	0	0
6.812	2	2	682	3	1	28	2196	0	0	0
6.901	1	1	691	2	1	28	2196	0	0	0
6.901	2	2	691	2	1	28	2196	0	0	0
6.912	1	1	692	3	1	28	2196	0	0	0
6.912	2	2	692	3	1	28	2196	0	0	0
7.001	1	1	701	2	1	28	2196	0	0	0
7.001	2	2	701	2	1	28	2196	0	0	0
7.012	1	1	702	3	1	28	2196	0	0	0
7.012	2	2	702	3	1	28	2196	0	0	0
7.101	1	1	711	2	1	28	2196	0	0	0
7.101	2	2	711	2	1	28	2196	0	0	0
7.112	1	1	712	3	1	28	2196	0	0	0
7.112	2	2	712	3	1	28	2196	0	0	0
7.201	1	1	721	2	1	28	2196	0	0	0
7.201	2	2	721	2	1	28	2196	0	0	0
7.212	1	1	722	3	1	28	2196	0	0	0
7.212	2	2	722	3	1	28	2196	0	0	0
7.301	1	1	731	2	1	28	2196	0	0	0
7.301	2	2	731	2	1	28	2196	0	0	0
7.312	1	1	732	3	1	28	2196	0	0	0
7.312	2	2	732	3	1	28	2196	0	0	0
7.401	1	1	741	2	1	28	2196	0	0	0
7.401	2	2	741	2	1	28	2196	0	0	0
7.412	1	1	742	3	1	28	2196	0	0	0
7.412	2	2	742	3	1	28	2196	0	0	0
7.501	1	1	751	2	1	28	2196	0	0	0
7.501	2	2	751	2	1	28	2196	0	0	0
7.512	1	1	752	3	1	28	2196	0	0	0
7.512	2	2	752	3	1	28	2196	0	0	0
7.601	1	1	761	2	1	28	2196	0	0	0
7.601	2	2	761	2	1	28	2196	0	0	0
7.612	1	1	762	3	1	28	2196	0	0	0
7.612	2	2	762	3	1	28	2196	0	0	0
7.701	1	1	771	2	1	28	2196	0	0	0
7.701	2	2	771	2	1	28	2196	0	0	0
7.712	1	1	772	3	1	28	2196	0	0	0
7.712	2	2	772	3	1	28	2196	0	0	0
7.801	1	1	781	2	1	28	2196	0	0	0
7.801	2	2	781	2	1	28	2196	0	0	0
7.812	1	1	782	3	1	28	2196	0	0	0
7.812	2	2	782	3	1	28	2196	0	0	0
7.901	1	1	791	2	1	28	2196	0	0	0
7.901	2	2	791	2	1	28	2196	0	0	0
7.912	1	1	792	3	1	28	2196	0	0	0
7.912	2	2	792	3	1	28	2196	0	0	0
8.001	1	1	801	2	1	28	2196	0	0	0
8.001	2	2	801	2	1	28	2196	0	0	0
8.012	1	1	802	3	1	28	2196	0	0	0
8.012	2	2	802	3	1	28	2196	0	0	0
8.101	1	1	811	2	1	28	2196	0	0	0
8.101	2	2	811	2	1	28	2196	0	0	0
8.112	1	1	812	3	1	28	2196	0	0	0
8.112	2	2	812	3	1	28	2196	0	0	0
8.201	1	1	821	2	1	28	2196	0	0	0
8.201	2	2	821	2	1	28	2196	0	0	0
8.212	1	1	822	3	1	28	2196	0	0	0
8.212	2	2	822	3	1	28	2196	0	0	0
8.301	1	1	831	2	1	28	2196	0	0	0
8.301	2	2	831	2	1	28	2196	0	0	0
8.312	1	1	832	3	1	28	2196	0	0	0
8.312	2	2	832	3	1	28	2196	0	0	0
8.401	1	1	841	2	1	28	2196	0	0	0
8.401	2	2	841	2	1	28	2196	0	0	0
8.412	1	1	842	3	1	28	2196	0	0	0
8.412	2	2	842	3	1	28	2196	0	0	0
8.501	1	1	851	2	1	28	2196	0	0	0
8.501	2	2	851	2	1	28	2196	0	0	0
8.512	1	1	852	3	1	28	2196	0	0	0
8.512	2	2	852	3	1	28	2196	0	0	0
8.601	1	1	861	2	1	28	2196	0	0	0
8.601	2	2	861	2	1	28	2196	0	0	0
8.612	1	1	862	3	1	28	2196	0	0	0
8.612	2	2	862	3	1	28	2196	0	0	0
8.701	1	1	871	2	1	28	2196	0	0	0
8.701	2	2	871	2	1	28	2196	0	0	0
8.712	1	1	872	3	1	28	2196	0	0	0
8.712	2	2	872	3	1	28	2196	0	0	0
8.801	1	1	881	2	1	28	2196	0	0	0
8.801	2	2	881	2	1	28	2196	0	0	0
8.812	1	1	882	3	1	28	2196	0	0	0
8.812	2	2	882	3	1	28	2196	0	0	0
8.901	1	1	891	2	1	28	2196	0	0	0
8.901	2	2	891	2	1	28	2196	0	0	0
8.912	1	1	892	3	1	28	2196	0	0	0
8.912	2	2	892	3	1	28	2196	0	0	0
9.001	1	1	901	2	1	28	2196	0	0	0
9.001	2	2	901	2	1	28	2196	0	0	0
9.012	1	1	902	3	1	28	2196	0	0	0
9.012	2	2	902	3	1	28	2196	0	0	0
9.101	1	1	911	2	1	28	2196	0	0	0
9.101	2	2	911	2	1	28	2196	0	0	0
9.112	1	1	912	3	1	28	2196	0	0	0
9.112	2	2	912	3	1	28	2196	0	0	0
9.201	1	1	921	2	1	28	2196	0	0	0
9.201	2	2	921	2	1	28	2196	0	0	0
9.212	1	1	922	3	1	28	2196	0	0	0
9.212	2	2	922	3	1	28	2196	0	0	0
9.301	1	1	931	2	1	28	2196	0	0	0
9.301	2	2	931	2	1	28	2196	0	0	0
9.312	1	1	932	3	1	28	2196	0	0	0
9.312	2	2	932	3	1	28	2196	0	0	0
9.401	1	1	941	2	1	28	2196	0	0	0
9.401	2	2	941	2	1	28	2196	0	0	0
9.412	1	1	942	3	1	28	2196	0	0	0
9.412	2	2	942	3	1	28	2196	0	0	0
9.501	1	1	951	2	1	28	2196	0	0	0
9.501	2	2	951	2	1	28	2196	0	0	0
9.512	1	1	952	3	1	28	2196	0	0	0
9.512	2	2	952	3	1	28	2196	0	0	0
9.601	1	1	961	2	1	28	2196	0	0	0
9.601	2	2	961	2	1	28	2196	0	0	0
9.612	1	1	962	3	1	28	2196	0	0	0
9.612	2	2	962	3	1	28	2196	0	0	0
9.701	1	1	971	2	1	28	2196	0	0	0
9.701	2	2	971	2	1	28	2196	0	0	0
9.712	1	1	972	3	1	28	2196	0	0	0
9.712	2	2	972	3	1	28	2196	0	0	0
9.801	1	1	981	2	1	28	2196	0	0	0
9.801	2	2	981	2	1	28	2196	0	0	0
9.812	1	1	982	3	1	28	2196	0	0	0
9.812	2	2	982	3	1	28	2196	0	0	0
9.901	1	1	991	2	1	28	2196	0	0	0
9.901	2	2	991	2	1	28	2196	0	0	0
9.912	1	1	992	3	1	28	2196	0	0	0
9.912	2	2	992	3	1	28	2196	0	0	0
